%time,field.data
1538332995509117133,317
1538332995605061366,317
1538332995702235875,314
1538332995820339145,315
1538332995906656262,314
1538332996010564165,313
1538332996117246082,314
1538332996211039677,315
1538332996316271153,314
1538332996428835070,316
1538332996542009418,314
1538332996652934172,315
1538332996757176787,317
1538332996860995361,408
1538332996952649592,320
1538332997061506274,315
1538332997144577172,314
1538332997253429451,315
1538332997384580749,315
1538332997504571568,320
1538332997606203735,373
1538332997696203670,316
1538332997800790817,314
1538332997936726507,312
1538332998040791361,316
1538332998158235831,312
1538332998278656939,315
1538332998372968958,312
1538332998476842787,315
1538332998596397462,369
1538332998684823664,314
1538332998784942224,313
1538332998896969214,314
1538332998993071642,315
1538332999112844656,316
1538332999216732775,313
1538332999312754568,309
1538332999412901395,314
1538332999524058048,315
1538332999620699929,321
1538332999733135720,314
1538332999827208801,313
1538332999925059949,314
1538333000033005440,314
1538333000136841698,313
1538333000236841729,315
1538333000350936569,423
1538333000453963540,315
1538333000540703927,317
1538333000645071227,315
1538333000753022838,312
1538333000857123289,320
1538333000964793916,311
1538333001077043591,315
1538333001165005074,314
1538333001290210239,367
1538333001384912601,319
1538333001504780410,315
1538333001601232688,314
1538333001710051884,314
1538333001809060647,421
1538333001910783322,343
1538333002027194430,316
1538333002130020252,319
1538333002213021877,314
1538333002333166629,315
1538333002421080366,309
1538333002521356383,315
1538333002628881695,317
1538333002732540317,315
1538333002849138777,314
1538333002964842059,362
1538333003060853702,315
1538333003158547830,313
1538333003267531030,315
1538333003387161532,314
1538333003462837935,314
1538333003570849311,404
1538333003666964060,316
1538333003775402185,314
1538333003873376340,312
1538333003977176506,347
1538333004064740004,316
1538333004190964618,314
1538333004305145602,312
1538333004422797128,314
1538333004554081416,314
1538333004645148065,314
1538333004740956481,315
1538333004830083663,315
1538333004938941525,314
1538333005059768062,397
1538333005173034560,313
1538333005269770110,319
1538333005389185098,315
1538333005472975942,371
1538333005576226674,314
1538333005681029514,315
1538333005781085762,357
1538333005885216991,314
1538333006004997011,316
1538333006103138545,315
1538333006197246239,315
1538333006310390869,315
1538333006405016491,312
1538333006507587359,446
1538333006601357097,314
1538333006708488180,315
1538333006808995358,315
1538333006925335439,317
1538333007021309193,316
1538333007128979050,316
1538333007219246910,314
1538333007333771162,396
1538333007435049788,317
1538333007525209842,314
1538333007641349718,319
1538333007745305316,315
1538333007843922776,317
1538333007961370828,316
1538333008064902432,350
1538333008165858713,310
1538333008273352233,311
1538333008385034257,303
1538333008479471402,303
1538333008589052971,303
1538333008693334362,295
1538333008789248380,298
1538333008898557672,338
1538333009001618801,298
1538333009117144051,296
1538333009205128191,289
1538333009316978997,296
1538333009421063813,293
1538333009537278571,297
1538333009633179323,293
1538333009742854184,301
1538333009837328584,290
1538333009937417621,291
1538333010045137238,291
1538333010149375681,292
1538333010281824134,290
1538333010393331081,295
1538333010496185278,296
1538333010610193446,285
1538333010693169747,289
1538333010793385996,293
1538333010906246148,290
1538333010997298052,299
1538333011125392437,292
1538333011246460325,283
1538333011341129996,294
1538333011453341681,289
1538333011551127312,292
1538333011665444723,291
1538333011745032696,416
1538333011859502242,292
1538333011961086868,294
1538333012065519515,291
1538333012197207829,291
1538333012297385870,348
1538333012417123940,288
1538333012510087782,291
1538333012609240212,292
1538333012721484383,290
1538333012829218578,283
1538333012921533938,289
1538333013067902587,291
1538333013183759038,290
1538333013298792443,294
1538333013389493523,290
1538333013497369513,292
1538333013593018660,286
1538333013705852525,294
1538333013809279517,291
1538333013905471954,284
1538333014019288680,300
1538333014117561634,290
1538333014217429055,377
1538333014313507241,286
1538333014425579780,285
1538333014521293218,285
1538333014621314639,288
1538333014725311845,292
1538333014836676417,283
1538333014958884769,290
1538333015065261157,287
1538333015163466971,285
1538333015261464239,292
1538333015369475327,284
1538333015497522021,284
1538333015585073916,284
1538333015713503679,288
1538333015833461808,285
1538333015949310515,317
1538333016041809812,292
1538333016153686805,328
1538333016285513600,287
1538333016410678675,284
1538333016505643802,291
1538333016593307478,314
1538333016702980270,282
1538333016877429603,288
1538333016909863108,282
1538333017062437431,287
1538333017147951476,287
1538333017283694064,286
1538333017337658538,287
1538333017437543244,293
1538333017549458543,293
1538333017639846117,292
1538333017745526165,287
1538333017841924207,287
1538333017973628438,288
1538333018093702955,284
1538333018181695619,286
1538333018297347069,286
1538333018397375160,289
1538333018497338592,286
1538333018597064603,292
1538333018710384820,285
1538333018811300082,291
1538333018927482133,318
1538333019047412464,285
1538333019161712348,282
1538333019262197337,287
1538333019369602274,284
1538333019477506495,285
1538333019582416176,283
1538333019712495404,284
1538333019805733056,333
1538333019913986475,284
1538333020019086871,288
1538333020125879334,283
1538333020217435457,286
1538333020321677295,286
1538333020421646184,287
1538333020525686232,286
1538333020626295196,292
1538333020741640937,286
1538333020849782287,281
1538333020961788415,285
1538333021065690997,302
1538333021165773269,286
1538333021273527175,285
1538333021369803146,286
1538333021481710176,292
1538333021602346490,287
1538333021716815908,303
1538333021814877324,403
1538333021906862243,290
1538333022006197577,288
1538333022106599384,286
1538333022222121542,285
1538333022317794634,291
1538333022429785984,290
1538333022518486856,283
1538333022654938057,292
1538333022773719455,310
1538333022889807622,287
1538333022994996880,292
1538333023082224072,287
1538333023185697905,373
1538333023297827206,289
1538333023402525110,285
1538333023501800067,285
1538333023605545982,284
1538333023721853226,285
1538333023829889486,283
1538333023925508991,285
1538333024116610110,286
1538333024137624024,282
1538333024258873857,291
1538333024408156454,288
1538333024560348679,293
1538333024569648848,285
1538333024710968189,291
1538333024874955113,284
1538333024890371249,286
1538333024977816256,286
1538333025082055002,296
1538333025217565496,282
1538333025321865362,285
1538333025419556704,286
1538333025525892266,291
1538333025613616243,286
1538333025721626139,282
1538333025829867462,287
1538333025926665486,287
1538333026034239224,285
1538333026141997639,287
1538333026249861368,284
1538333026345627288,286
1538333026461728228,286
1538333026549553818,337
1538333026657997906,291
1538333026788342455,287
1538333026891091208,291
1538333027009893783,287
1538333027097679493,289
1538333027201659161,285
1538333027305887597,306
1538333027422041290,290
1538333027537910528,292
1538333027656137815,291
1538333027765632799,291
1538333027858264555,292
1538333027961937893,292
1538333028066046002,294
1538333028166172781,293
1538333028278039157,290
1538333028389937565,340
1538333028489896934,290
1538333028589785033,285
1538333028697998060,286
1538333028794203495,284
1538333028890020656,280
1538333029001676729,278
1538333029117777663,298
1538333029213746008,282
1538333029319267252,280
1538333029438017389,277
1538333029529946971,273
1538333029635050503,279
1538333029721921477,271
1538333029825931782,281
1538333029938045437,280
1538333030050131581,338
1538333030167954326,282
1538333030260131790,277
1538333030362006066,280
1538333030461965271,278
1538333030559156340,282
1538333030653974580,279
1538333030776809315,280
1538333030865662145,280
1538333030978900209,299
1538333031102083382,277
1538333031192264073,280
1538333031310030261,280
1538333031406321628,281
1538333031510597776,276
1538333031617834423,278
1538333031739268700,285
1538333031837825224,281
1538333031934331416,280
1538333032042167246,281
1538333032143739592,279
1538333032258014288,280
1538333032350133964,273
1538333032450150955,277
1538333032554085139,282
1538333032670200987,282
1538333032766894291,330
1538333032878092748,282
1538333032990444775,279
1538333033090121834,279
1538333033185917412,276
1538333033306204910,279
1538333033415350044,276
1538333033522180399,280
1538333033624154706,279
1538333033730194123,279
1538333033829957834,285
1538333033930789557,280
1538333034034130884,280
1538333034132706549,282
1538333034248235172,281
1538333034342204550,281
1538333034450182076,279
1538333034557472644,279
1538333034661976548,280
1538333034753873876,282
1538333034858301234,281
1538333034968101484,280
1538333035070224437,279
1538333035190307488,283
1538333035311681205,282
1538333035413539721,284
1538333035502211494,283
1538333035606206838,280
1538333035739524489,278
1538333035846008260,280
1538333035962288653,279
1538333036050150951,282
1538333036154056474,280
1538333036258589505,280
1538333036349820415,280
1538333036462699317,281
1538333036570310719,281
1538333036655720229,274
1538333036762079043,281
1538333036869946413,277
1538333036953884133,283
1538333037077880272,279
1538333037166848529,279
1538333037290478484,311
1538333037406086147,279
1538333037503293291,282
1538333037610725030,279
1538333037718338105,277
1538333037838374662,282
1538333037934300628,277
1538333038048601948,280
1538333038158270688,282
1538333038258028297,280
1538333038360418048,280
1538333038482265412,283
1538333038602415059,278
1538333038700190930,281
1538333038823656487,282
1538333038904468101,278
1538333039004423167,281
1538333039109516174,279
1538333039212107455,280
1538333039318236975,280
1538333039428224755,402
1538333039535098738,281
1538333039648036179,281
1538333039759456660,281
1538333039875225077,327
1538333039984043954,282
1538333040075857144,279
1538333040191248389,277
1538333040286130982,278
1538333040400293990,280
1538333040518333576,280
1538333040636021741,277
1538333040739879718,285
1538333040832669851,281
1538333040934222382,285
1538333041047988695,281
1538333041152931765,363
1538333041262166242,278
1538333041380576929,281
1538333041498497988,278
1538333041602424540,279
1538333041690466221,280
