%time,field.data
1538332675428138385,402
1538332675539836752,405
1538332675658119039,405
1538332675762032701,402
1538332675857953544,407
1538332675962007861,402
1538332676070275549,401
1538332676174305823,403
1538332676266027866,401
1538332676366354538,405
1538332676470047885,404
1538332676591638494,401
1538332676690218065,405
1538332676786685246,403
1538332676893879085,404
1538332676993982618,406
1538332677094831387,404
1538332677189885825,405
1538332677285996713,445
1538332677393949336,404
1538332677502083981,406
1538332677594044889,403
1538332677711793213,406
1538332677806336733,404
1538332677903345950,404
1538332678005204795,450
1538332678126384652,403
1538332678246771876,402
1538332678345305602,404
1538332678451939325,405
1538332678559827868,402
1538332678646922792,402
1538332678751650192,403
1538332678867933548,410
1538332678970273771,404
1538332679071681754,403
1538332679182229653,403
1538332679274102192,403
1538332679394354228,548
1538332679490919203,404
1538332679597883435,404
1538332679698078826,404
1538332679806192338,401
1538332679889796546,444
1538332679994454088,404
1538332680097966364,414
1538332680211904451,405
1538332680314118794,402
1538332680425966737,396
1538332680518471404,408
1538332680618147619,403
1538332680737742800,403
1538332680846222024,401
1538332680938109749,405
1538332681038161041,399
1538332681166505221,405
1538332681251459226,403
1538332681366891768,403
1538332681474507308,405
1538332681562254877,406
1538332681669975707,404
1538332681787927168,396
1538332681881838320,401
1538332681995925437,405
1538332682083561649,410
1538332682179621150,415
1538332682288600760,495
1538332682398213016,403
1538332682524823005,402
1538332682622031036,407
1538332682721976761,407
1538332682822042819,400
1538332682938250623,405
1538332683038371146,404
1538332683139951988,405
1538332683225313219,402
1538332683360054776,407
1538332683443619875,403
1538332683554367856,404
1538332683642322343,401
1538332683758015194,405
1538332683851988552,505
1538332683963843233,405
1538332684061564084,444
1538332684141287705,402
1538332684251940050,403
1538332684358262945,404
1538332684462459077,404
1538332684573506085,403
1538332684675324981,405
1538332684766319214,409
1538332684866826001,403
1538332684966564749,402
1538332685075925447,448
1538332685165925434,407
1538332685272518558,400
1538332685392230906,403
1538332685510488453,405
1538332685626347726,402
1538332685718300077,404
1538332685820391258,402
1538332685938367922,469
1538332686055426836,403
1538332686158329748,402
1538332686258316750,403
1538332686386327192,403
1538332686474419224,402
1538332686579066138,404
1538332686683099855,404
1538332686770105614,403
1538332686874446917,412
1538332686986470605,441
1538332687094201474,502
1538332687178379516,431
1538332687288124764,403
1538332687390381175,404
1538332687486547079,405
1538332687595329359,409
1538332687694462704,403
1538332687819518575,402
1538332687914629207,405
1538332688030386366,404
1538332688146173208,403
1538332688242516228,404
1538332688364088981,420
1538332688450104314,406
1538332688582365592,400
1538332688702378586,404
1538332688814305765,412
1538332688918690959,405
1538332689019045032,404
1538332689118688292,401
1538332689214450251,404
1538332689326207374,404
1538332689433232311,402
1538332689516019628,404
1538332689626252875,401
1538332689718245408,404
1538332689846554111,403
1538332689936707365,402
1538332690034552541,401
1538332690131821381,403
1538332690242792643,404
1538332690344135571,422
1538332690446578836,402
1538332690537029064,485
1538332690634569514,404
1538332690739649453,404
1538332690850548851,403
1538332690952214389,403
1538332691052264957,402
1538332691152274083,405
1538332691258287981,400
1538332691361118729,404
1538332691469638480,524
1538332691567774811,402
1538332691654409184,403
1538332691766314965,404
1538332691912388216,434
1538332692003677504,403
1538332692098342312,407
1538332692222441156,405
1538332692306648565,407
1538332692434052298,403
1538332692518737732,403
1538332692616749675,403
1538332692714240339,404
1538332692836194943,404
1538332692954383004,402
1538332693034266655,405
1538332693146927037,402
1538332693247984520,400
1538332693344087835,406
1538332693438626061,407
1538332693570506134,411
1538332693673077303,405
1538332693774632372,403
1538332693886577951,401
1538332693990921720,405
1538332694086528148,405
1538332694174287348,403
1538332694289702488,403
1538332694419855907,460
1538332694512689439,422
1538332694629523720,402
1538332694727118843,401
1538332694838616132,401
1538332694956430578,404
1538332695055447023,494
1538332695144844794,404
1538332695244441967,518
1538332695368858726,404
1538332695494673996,403
1538332695597447480,405
1538332695686881178,403
1538332695798641094,409
1538332695895005036,406
1538332695992541576,404
1538332696101895490,401
1538332696218534839,405
1538332696342792370,404
1538332696458783155,401
1538332696569967621,403
1538332696655349434,403
1538332696766498710,410
1538332696863359150,408
1538332696950730806,405
1538332697062740957,404
1538332697170786555,403
1538332697292390487,405
1538332697362353647,403
1538332697466775122,402
1538332697570756615,405
1538332697680916326,437
1538332697795102095,402
1538332697906771627,403
1538332698012535656,405
1538332698122511993,492
1538332698211810413,427
1538332698350843991,402
1538332698470838314,406
1538332698562785131,405
1538332698670767892,402
1538332698762821124,409
1538332698870972220,402
1538332698998528715,402
1538332699114507104,405
1538332699217928025,403
1538332699334693906,406
1538332699419803117,402
1538332699528358449,404
1538332699646600788,403
1538332699758600284,403
1538332699858866312,529
1538332699962869570,403
1538332700063559959,405
1538332700168657412,448
1538332700278115162,397
1538332700391747955,403
1538332700498806521,405
1538332700618614341,406
1538332700735855963,405
1538332700836339735,403
1538332700960200468,405
1538332701076096600,402
1538332701187450804,404
1538332701298633814,389
1538332701386864978,452
1538332701495009535,445
1538332701606656896,404
1538332701718625727,405
1538332701826718368,406
1538332701910694347,404
1538332702014978537,403
1538332702134679351,403
1538332702254943542,406
1538332702368556329,402
1538332702478599339,408
1538332702587013046,519
1538332702670999244,411
1538332702810884575,403
1538332702918801783,404
1538332703014630262,401
1538332703118689006,408
1538332703222939059,403
1538332703326919219,404
1538332703428053731,535
1538332703531014605,461
1538332703626762377,403
1538332703736248006,403
1538332703826952323,402
1538332703947143885,402
1538332704063295969,404
1538332704174812186,394
1538332704279928648,403
1538332704389569853,404
1538332704494794761,398
1538332704582988401,402
1538332704682855720,402
1538332704823123042,403
1538332704923045197,406
1538332705030970992,407
1538332705124439481,403
1538332705231099795,409
1538332705331063631,429
1538332705434752330,404
1538332705527260821,403
1538332705630846468,404
1538332705746981551,406
1538332705851021272,399
1538332705959012267,403
1538332706071217171,405
1538332706167046947,403
1538332706266810710,401
1538332706363068562,404
1538332706475661956,434
1538332706566979507,402
1538332706675131160,403
1538332706771463378,403
1538332706871418424,404
1538332706991142326,404
1538332707087303090,404
1538332707183034655,427
1538332707284727372,403
1538332707398843294,411
1538332707519313684,402
1538332707636636599,403
1538332707737082342,441
1538332707848059114,406
1538332707935111279,404
1538332708055010771,403
1538332708142890947,404
1538332708244226617,406
1538332708356010852,400
1538332708487148542,506
1538332708602888433,405
1538332708704780668,403
1538332708794955531,403
1538332708895068386,402
1538332709038979629,406
1538332709159096883,451
1538332709255314178,399
1538332709367833895,403
1538332709478799117,430
1538332709579760868,402
1538332709676563960,404
1538332709775125954,403
1538332709895423688,403
1538332710010883663,404
1538332710134964954,405
1538332710227173398,400
1538332710336202694,411
1538332710435145750,403
1538332710545294153,405
1538332710643304004,405
1538332710742090887,403
1538332710859329352,404
1538332710976273121,404
1538332711082938124,402
1538332711166801020,408
1538332711274926407,403
1538332711375207128,405
1538332711474588045,404
1538332711595310071,402
1538332711699315463,404
1538332711817103228,402
1538332711898880953,403
1538332712007354421,403
1538332712123364017,403
1538332712220653309,404
1538332712313184670,403
1538332712415211703,404
1538332712515294490,416
1538332712629291598,446
1538332712750103697,400
1538332712844959058,405
1538332712955262143,404
1538332713053785310,403
1538332713158302537,453
1538332713267282811,405
1538332713367853808,402
1538332713479393964,403
1538332713582550570,406
1538332713684486242,405
1538332713799212031,403
1538332713900941950,402
1538332713991926464,406
1538332714095389151,403
1538332714198738726,405
1538332714319438016,402
1538332714419058371,402
1538332714526964087,405
1538332714639141106,405
1538332714746969235,403
1538332714831094388,405
1538332714972016203,404
